Temperature (K), initial Peak Energy (eV), Peak Energy (eV)
8.300000000000000000e+01,2.354111778880546346e+00,2.353897071263339580e+00
9.300000000000000000e+01,2.354127481618157880e+00,2.354440403007961091e+00
1.030000000000000000e+02,2.355075794225835573e+00,2.355133085924708602e+00
1.130000000000000000e+02,2.355925804389294331e+00,2.355916490697806065e+00
1.230000000000000000e+02,2.356933705015602953e+00,2.356733797296787003e+00
1.330000000000000000e+02,2.357576132917177603e+00,2.357534958861391416e+00
1.430000000000000000e+02,2.358251786142732342e+00,2.358278576785086234e+00
1.530000000000000000e+02,2.358931440480486863e+00,2.358931966127007840e+00
1.630000000000000000e+02,2.359475000403317146e+00,2.359470309356311635e+00
1.730000000000000000e+02,2.359708122770949323e+00,2.359875453439322257e+00
1.830000000000000000e+02,2.360170719866796496e+00,2.360134659139446089e+00
1.930000000000000000e+02,2.360298549724847206e+00,2.360239454557093719e+00
